Designator	X-Loc	Y-Loc	Rotation	Side	Type	X-Size	Y-Size	Value	Footprint	Populate	MPN
C1	55.5	-22.25	180	top	SMT	2	1	0.1uf 100V	Capacitors_SMD:C_0603	1	CL10B104KC8NNNC
C10	29.25	-12.25	180	top	SMT	2	1	0.1uf	Capacitors_SMD:C_0603	1	
C11	29.25	-16	90	top	SMT	2	1	10uf	Capacitors_SMD:C_1206	1	
C12	3.25	-14.25	270	top	SMT	2	1	470uF	Capacitors_SMD:c_elec_8x10	1	UWT1A471MNL1GS
C13	22	-12.5	0	top	SMT	2	1	2.2nF 250Vac	Capacitors_SMD:C_0603	1	C1608C0G2E222J080AA
C14	11.25	-15.25	90	top	SMT	2	1	6.8nf	Capacitors_SMD:C_0603	1	
C15	7.25	-15.25	270	top	SMT	2	1	0.1uF	Capacitors_SMD:C_0603	1	
C16	9.25	-15.25	270	top	SMT	2	1	0.1uF	Capacitors_SMD:C_0603	1	
C17	43.25	-8	0	bottom	nostuff	2	1	nostuff-0.1u	Capacitors_SMD:C_0603	0	
C18	42.75	-9	270	top	SMT	2	1	0.1uf	Capacitors_SMD:C_0603	1	
C19	16.75	-8.75	270	top	SMT	2	1	1uF	Capacitors_SMD:C_0603	1	
C2	40	-8	180	top	SMT	2	1	16pf	Capacitors_SMD:C_0603	1	
C20	22.75	-8.75	270	top	SMT	2	1	1uF	Capacitors_SMD:C_0603	1	
C21	44.25	-14.75	0	top	SMT	2	1	0.1uf	Capacitors_SMD:C_0603	1	
C22	33.75	-23.75	90	top	SMT	2	1	2.2uF 100V	Capacitors_SMD:C_1206	1	GRM31CR72A225KA73L
C23	30.75	-23.75	90	top	SMT	2	1	2.2uF 100V	Capacitors_SMD:C_1206	1	GRM31CR72A225KA73L
C24	36.25	-23	90	top	SMT	2	1	0.1uF 100V	Capacitors_SMD:C_0603	1	CL10B104KC8NNNC
C25	51.75	-27	270	top	SMT	2	1	2.2uF 100V	Capacitors_SMD:C_1206	1	GRM31CR72A225KA73L
C3	30.5	-8	0	top	SMT	2	1	16pf	Capacitors_SMD:C_0603	1	
C4	49	-27	270	top	SMT	2	1	2.2uF 100V	Capacitors_SMD:C_1206	1	GRM31CR72A225KA73L
C5	27.75	-23.75	90	top	SMT	2	1	2.2uF 100V	Capacitors_SMD:C_1206	1	GRM31CR72A225KA73L
C7	41.25	-14.75	0	top	SMT	2	1	0.1uf	Capacitors_SMD:C_0603	1	
C8	40	-10	0	top	SMT	2	1	0.1uf	Capacitors_SMD:C_0603	1	
